Date,Process,Product,Shift,Team,Target_Units,Actual_Units,Cycle_Time_Min,Waiting_Time_Min,Downtime_Min,Defects,Rework_Units,Quality_Units,Defect_Rate_%,Productivity_%,Lead_Time_Min,Availability_%
2026-01-16,Packaging,Product A,Night,Team D,86,84,10.48,9.51,14.98,0,0,84,0.0,97.67,19.99,92.51
2026-03-07,Assembly,Product B,Evening,Team D,95,80,22.61,21.23,31.76,0,0,80,0.0,84.21,43.84,84.12
2026-01-29,Assembly,Product B,Evening,Team A,113,97,22.52,23.65,28.11,3,3,91,3.09,85.84,46.17,85.94
2026-01-06,Assembly,Product A,Night,Team D,116,96,22.83,21.37,43.47,1,2,93,1.04,82.76,44.2,78.26
2026-03-08,Cutting,Product B,Morning,Team D,81,81,11.86,8.26,12.84,0,0,81,0.0,100.0,20.12,93.58
2026-03-23,Cutting,Product B,Evening,Team B,99,99,12.2,2.19,18.76,1,1,97,1.01,100.0,14.39,90.62
2026-01-02,Assembly,Product B,Morning,Team B,90,69,21.84,18.33,27.1,1,1,67,1.45,76.67,40.17,86.45
2026-02-09,Cutting,Product C,Evening,Team C,86,77,13.12,1.95,23.34,1,2,74,1.3,89.53,15.07,88.33
2026-03-16,Inspection,Product A,Evening,Team B,82,71,13.19,12.36,9.09,0,0,71,0.0,86.59,25.55,95.46
2026-03-05,Assembly,Product C,Morning,Team B,102,75,22.87,25.89,19.45,1,1,73,1.33,73.53,48.76,90.28
2026-03-19,Packaging,Product A,Morning,Team D,107,109,9.67,3.51,0.0,0,0,109,0.0,101.87,13.18,100.0
2026-02-07,Inspection,Product A,Morning,Team D,101,99,12.8,0.0,25.99,1,1,97,1.01,98.02,12.8,87.0
2026-02-03,Assembly,Product A,Morning,Team B,95,79,20.8,13.67,32.69,3,2,74,3.8,83.16,34.47,83.66
2026-03-05,Packaging,Product B,Morning,Team D,111,91,13.87,8.93,5.0,0,0,91,0.0,81.98,22.8,97.5
2026-01-14,Packaging,Product A,Morning,Team B,106,114,8.01,6.21,14.49,0,0,114,0.0,107.55,14.22,92.76
2026-01-22,Assembly,Product A,Morning,Team D,117,93,21.35,16.71,27.86,1,3,89,1.08,79.49,38.06,86.07
2026-02-24,Assembly,Product B,Morning,Team C,94,85,22.82,22.96,40.43,2,1,82,2.35,90.43,45.78,79.78
2026-03-02,Inspection,Product A,Evening,Team B,89,76,13.55,9.94,2.71,0,0,76,0.0,85.39,23.49,98.64
2026-01-11,Cutting,Product A,Evening,Team A,98,92,7.91,9.87,7.41,1,0,91,1.09,93.88,17.78,96.3
2026-02-15,Cutting,Product A,Evening,Team C,100,81,13.47,8.68,6.22,2,1,78,2.47,81.0,22.15,96.89
2026-02-02,Cutting,Product A,Morning,Team B,98,96,10.79,11.09,0.0,0,0,96,0.0,97.96,21.88,100.0
2026-02-15,Inspection,Product A,Night,Team A,114,101,12.14,15.17,25.54,1,2,98,0.99,88.6,27.31,87.23
2026-03-28,Inspection,Product A,Evening,Team A,81,68,15.62,11.62,10.38,1,3,64,1.47,83.95,27.24,94.81
2026-01-07,Inspection,Product A,Morning,Team D,101,88,14.38,6.77,16.44,0,0,88,0.0,87.13,21.15,91.78
2026-03-31,Inspection,Product B,Morning,Team A,97,97,10.22,5.59,26.16,2,2,93,2.06,100.0,15.81,86.92
2026-02-10,Assembly,Product C,Evening,Team D,88,69,30.44,22.52,21.63,0,0,69,0.0,78.41,52.96,89.18
2026-03-11,Assembly,Product B,Morning,Team D,106,93,25.53,16.59,25.05,1,2,90,1.08,87.74,42.12,87.48
2026-02-08,Cutting,Product B,Evening,Team A,112,104,10.98,8.22,9.71,1,0,103,0.96,92.86,19.2,95.14
2026-01-28,Cutting,Product C,Night,Team C,102,90,17.81,11.5,17.07,2,1,87,2.22,88.24,29.31,91.46
2026-03-11,Inspection,Product C,Morning,Team C,83,73,13.35,5.65,8.6,0,2,71,0.0,87.95,19.0,95.7
2026-03-03,Assembly,Product B,Morning,Team B,83,63,24.68,18.41,24.48,3,2,58,4.76,75.9,43.09,87.76
2026-01-13,Assembly,Product C,Night,Team C,97,69,25.37,30.22,33.36,3,1,65,4.35,71.13,55.59,83.32
2026-03-05,Inspection,Product C,Evening,Team B,107,101,14.28,10.22,14.27,1,1,99,0.99,94.39,24.5,92.86
2026-03-09,Inspection,Product B,Morning,Team B,92,92,14.05,1.15,0.0,1,1,90,1.09,100.0,15.2,100.0
2026-02-04,Assembly,Product B,Night,Team B,92,76,25.33,18.32,18.81,3,1,72,3.95,82.61,43.65,90.6
2026-03-25,Assembly,Product A,Night,Team D,115,86,23.6,26.8,44.16,1,0,85,1.16,74.78,50.4,77.92
2026-02-27,Assembly,Product A,Evening,Team C,80,70,23.05,15.5,25.1,2,0,68,2.86,87.5,38.55,87.45
2026-01-31,Cutting,Product B,Evening,Team B,83,81,10.85,0.0,4.43,1,1,79,1.23,97.59,10.85,97.78
2026-01-01,Assembly,Product B,Morning,Team D,86,70,20.13,24.22,22.5,0,0,70,0.0,81.4,44.35,88.75
2026-03-02,Cutting,Product A,Morning,Team D,120,114,7.76,7.73,9.08,1,1,112,0.88,95.0,15.49,95.46
2026-01-19,Assembly,Product B,Evening,Team D,100,72,24.96,20.32,30.06,5,2,65,6.94,72.0,45.28,84.97
2026-03-10,Packaging,Product B,Morning,Team C,86,93,4.0,2.51,0.0,0,1,92,0.0,108.14,6.51,100.0
2026-02-17,Cutting,Product C,Evening,Team B,92,89,11.45,9.33,3.95,1,1,87,1.12,96.74,20.78,98.02
2026-02-12,Cutting,Product A,Evening,Team D,119,117,9.95,2.83,10.64,0,1,116,0.0,98.32,12.78,94.68
2026-01-15,Assembly,Product A,Morning,Team B,108,75,26.91,26.0,28.84,6,4,65,8.0,69.44,52.91,85.58
2026-03-06,Assembly,Product B,Evening,Team B,89,82,25.82,20.01,29.93,1,0,81,1.22,92.13,45.83,85.04
2026-01-15,Inspection,Product C,Morning,Team B,89,89,14.45,8.98,4.62,1,2,86,1.12,100.0,23.43,97.69
2026-02-07,Assembly,Product C,Night,Team D,83,62,24.07,21.53,32.73,2,0,60,3.23,74.7,45.6,83.64
2026-03-17,Inspection,Product C,Morning,Team C,111,103,13.25,7.3,18.55,1,0,102,0.97,92.79,20.55,90.72
2026-03-24,Inspection,Product C,Evening,Team B,85,77,14.62,12.18,14.92,1,0,76,1.3,90.59,26.8,92.54
2026-03-31,Assembly,Product A,Evening,Team B,91,74,22.91,16.53,30.66,2,1,71,2.7,81.32,39.44,84.67
2026-03-28,Packaging,Product A,Morning,Team B,94,89,11.19,0.0,6.42,0,0,89,0.0,94.68,11.19,96.79
2026-02-20,Cutting,Product A,Evening,Team C,105,105,8.81,7.46,3.99,0,0,105,0.0,100.0,16.27,98.0
2026-01-19,Cutting,Product B,Evening,Team B,104,108,11.65,7.52,8.57,0,0,108,0.0,103.85,19.17,95.72
2026-03-17,Cutting,Product C,Evening,Team C,112,100,13.03,6.92,16.56,0,0,100,0.0,89.29,19.95,91.72
2026-03-14,Inspection,Product A,Evening,Team B,92,80,14.45,9.63,11.29,0,0,80,0.0,86.96,24.08,94.36
2026-03-31,Assembly,Product B,Night,Team B,95,68,29.68,20.29,25.45,1,0,67,1.47,71.58,49.97,87.28
2026-02-28,Cutting,Product A,Morning,Team D,95,91,9.32,8.15,6.05,1,1,89,1.1,95.79,17.47,96.98
2026-01-13,Assembly,Product A,Evening,Team B,81,79,20.07,16.11,26.67,1,0,78,1.27,97.53,36.18,86.66
2026-02-15,Cutting,Product A,Morning,Team A,110,113,8.81,3.05,6.76,1,0,112,0.88,102.73,11.86,96.62
2026-02-10,Inspection,Product A,Evening,Team B,101,100,14.45,6.75,14.91,0,0,100,0.0,99.01,21.2,92.54
2026-03-17,Assembly,Product C,Evening,Team C,99,75,26.4,23.84,28.43,1,0,74,1.33,75.76,50.24,85.78
2026-02-05,Assembly,Product A,Morning,Team A,120,99,22.27,11.12,29.83,1,0,98,1.01,82.5,33.39,85.08
2026-01-30,Assembly,Product C,Morning,Team B,87,62,22.02,20.95,33.15,3,0,59,4.84,71.26,42.97,83.42
2026-01-08,Inspection,Product B,Night,Team A,119,111,17.94,6.82,23.3,0,0,111,0.0,93.28,24.76,88.35
2026-03-17,Assembly,Product A,Morning,Team C,107,94,20.81,15.54,21.9,0,2,92,0.0,87.85,36.35,89.05
2026-03-09,Cutting,Product A,Evening,Team C,89,92,13.55,3.27,3.58,0,1,91,0.0,103.37,16.82,98.21
2026-01-04,Cutting,Product C,Morning,Team D,107,98,17.29,0.0,8.55,0,0,98,0.0,91.59,17.29,95.72
2026-02-09,Packaging,Product A,Night,Team B,110,105,11.68,10.3,7.81,0,0,105,0.0,95.45,21.98,96.1
2026-02-13,Packaging,Product C,Morning,Team D,94,93,10.28,2.48,0.17,0,0,93,0.0,98.94,12.76,99.92
2026-02-12,Inspection,Product A,Morning,Team A,94,97,11.92,0.0,9.35,0,1,96,0.0,103.19,11.92,95.32
2026-03-24,Assembly,Product B,Night,Team D,114,88,18.7,26.03,25.09,1,1,86,1.14,77.19,44.73,87.46
2026-01-14,Packaging,Product C,Night,Team C,86,86,11.38,12.18,5.15,0,0,86,0.0,100.0,23.56,97.42
2026-01-28,Inspection,Product A,Morning,Team D,80,77,10.6,13.96,10.11,0,0,77,0.0,96.25,24.56,94.94
2026-01-17,Inspection,Product A,Evening,Team D,107,98,9.82,9.44,19.07,1,1,96,1.02,91.59,19.26,90.46
2026-01-22,Assembly,Product C,Evening,Team C,117,76,30.39,17.33,28.65,1,1,74,1.32,64.96,47.72,85.68
2026-03-23,Assembly,Product A,Night,Team B,100,72,27.64,29.12,44.32,2,3,67,2.78,72.0,56.76,77.84
2026-03-26,Cutting,Product A,Morning,Team C,85,88,11.84,11.73,10.02,0,0,88,0.0,103.53,23.57,94.99
2026-01-05,Packaging,Product A,Evening,Team D,102,108,8.32,8.53,5.26,0,0,108,0.0,105.88,16.85,97.37
2026-02-26,Assembly,Product A,Evening,Team D,90,73,25.32,14.46,25.1,2,0,71,2.74,81.11,39.78,87.45
2026-01-21,Cutting,Product B,Evening,Team D,113,118,13.12,5.81,10.54,0,0,118,0.0,104.42,18.93,94.73
2026-01-18,Assembly,Product B,Evening,Team A,105,85,23.43,21.33,25.78,0,1,84,0.0,80.95,44.76,87.11
2026-01-27,Assembly,Product A,Evening,Team C,93,77,27.79,11.33,38.88,2,2,73,2.6,82.8,39.12,80.56
2026-01-18,Cutting,Product C,Morning,Team A,105,100,10.57,6.88,3.93,0,0,100,0.0,95.24,17.45,98.04
2026-02-14,Packaging,Product A,Night,Team C,107,99,9.41,20.06,18.56,1,1,97,1.01,92.52,29.47,90.72
2026-03-31,Inspection,Product A,Night,Team D,107,96,13.38,14.88,19.28,0,0,96,0.0,89.72,28.26,90.36
2026-02-22,Inspection,Product B,Evening,Team A,95,83,8.65,13.89,2.57,0,0,83,0.0,87.37,22.54,98.72
2026-03-07,Assembly,Product C,Morning,Team C,103,91,22.17,17.14,32.46,1,0,90,1.1,88.35,39.31,83.77
2026-02-14,Inspection,Product A,Morning,Team D,81,74,13.12,7.71,19.61,0,1,73,0.0,91.36,20.83,90.2
2026-01-02,Inspection,Product A,Evening,Team D,96,90,10.17,9.53,6.86,0,0,90,0.0,93.75,19.7,96.57
2026-01-08,Inspection,Product B,Morning,Team B,95,83,12.92,4.74,11.95,2,1,80,2.41,87.37,17.66,94.02
2026-01-25,Cutting,Product C,Night,Team A,101,95,12.41,7.48,2.64,1,0,94,1.05,94.06,19.89,98.68
2026-01-22,Assembly,Product A,Morning,Team D,118,102,18.73,20.79,17.28,7,4,91,6.86,86.44,39.52,91.36
2026-03-17,Cutting,Product A,Evening,Team D,119,127,8.99,10.49,15.29,0,0,127,0.0,106.72,19.48,92.36
2026-03-17,Assembly,Product B,Night,Team C,99,66,27.64,20.01,27.47,2,2,62,3.03,66.67,47.65,86.26
2026-03-18,Assembly,Product A,Morning,Team D,106,81,23.91,22.23,17.16,2,0,79,2.47,76.42,46.14,91.42
2026-02-27,Cutting,Product A,Morning,Team A,84,77,8.46,4.65,10.38,1,0,76,1.3,91.67,13.11,94.81
2026-02-20,Cutting,Product A,Evening,Team C,99,99,11.35,6.36,5.87,2,1,96,2.02,100.0,17.71,97.06
2026-02-28,Inspection,Product A,Evening,Team A,108,100,15.25,9.84,9.18,1,0,99,1.0,92.59,25.09,95.41
2026-02-06,Cutting,Product B,Morning,Team D,107,96,12.71,8.98,13.44,2,3,91,2.08,89.72,21.69,93.28
2026-03-02,Packaging,Product C,Evening,Team C,119,117,8.79,4.33,0.03,0,1,116,0.0,98.32,13.12,99.98
2026-03-13,Inspection,Product B,Night,Team D,99,87,15.25,19.33,12.86,0,0,87,0.0,87.88,34.58,93.57
2026-03-10,Assembly,Product B,Evening,Team C,117,105,21.8,16.67,29.47,1,1,103,0.95,89.74,38.47,85.26
2026-02-25,Inspection,Product C,Morning,Team A,120,115,14.03,10.5,17.82,0,0,115,0.0,95.83,24.53,91.09
2026-01-06,Cutting,Product A,Morning,Team A,103,102,11.43,1.67,16.43,2,4,96,1.96,99.03,13.1,91.78
2026-03-07,Packaging,Product A,Morning,Team B,83,66,10.38,12.63,3.01,1,0,65,1.52,79.52,23.01,98.5
2026-02-02,Assembly,Product C,Morning,Team C,95,74,27.26,18.69,29.77,0,0,74,0.0,77.89,45.95,85.12
2026-03-08,Inspection,Product A,Morning,Team A,111,113,14.8,10.85,7.3,0,0,113,0.0,101.8,25.65,96.35
2026-02-18,Cutting,Product B,Evening,Team D,103,108,11.21,0.0,19.96,0,1,107,0.0,104.85,11.21,90.02
2026-03-21,Assembly,Product B,Morning,Team A,118,81,26.06,17.34,21.39,3,1,77,3.7,68.64,43.4,89.3
2026-01-31,Assembly,Product A,Night,Team B,113,80,29.66,31.61,35.39,0,0,80,0.0,70.8,61.27,82.3
2026-03-25,Packaging,Product B,Morning,Team A,82,74,7.23,5.15,3.06,0,0,74,0.0,90.24,12.38,98.47
2026-03-18,Assembly,Product A,Morning,Team B,115,106,20.88,13.48,35.59,1,1,104,0.94,92.17,34.36,82.2
2026-01-30,Assembly,Product A,Evening,Team B,94,69,29.36,23.37,31.37,3,3,63,4.35,73.4,52.73,84.32
2026-02-13,Assembly,Product B,Night,Team A,113,78,28.98,21.86,22.82,3,0,75,3.85,69.03,50.84,88.59
2026-02-17,Assembly,Product A,Morning,Team C,100,83,20.61,23.63,19.12,1,1,81,1.2,83.0,44.24,90.44
2026-03-11,Assembly,Product B,Morning,Team D,98,70,21.2,16.01,34.37,0,0,70,0.0,71.43,37.21,82.82
2026-03-04,Assembly,Product C,Morning,Team D,82,57,22.83,20.37,29.5,6,3,48,10.53,69.51,43.2,85.25
2026-03-18,Cutting,Product C,Evening,Team B,84,82,10.38,9.72,8.58,0,0,82,0.0,97.62,20.1,95.71
2026-02-03,Packaging,Product A,Evening,Team D,104,106,7.87,0.41,7.27,0,0,106,0.0,101.92,8.28,96.36
2026-02-15,Packaging,Product A,Morning,Team D,103,91,12.08,0.03,11.55,0,2,89,0.0,88.35,12.11,94.22
2026-02-08,Cutting,Product A,Morning,Team D,102,98,8.7,4.21,9.79,1,1,96,1.02,96.08,12.91,95.1
2026-03-23,Assembly,Product A,Evening,Team B,86,74,22.93,22.4,17.07,1,0,73,1.35,86.05,45.33,91.46
2026-01-28,Cutting,Product C,Night,Team D,100,85,15.18,5.74,9.94,1,0,84,1.18,85.0,20.92,95.03
2026-02-22,Inspection,Product A,Evening,Team C,82,79,13.86,1.33,13.41,1,0,78,1.27,96.34,15.19,93.3
2026-01-11,Assembly,Product A,Evening,Team A,85,63,27.04,19.38,32.37,4,1,58,6.35,74.12,46.42,83.82
2026-03-18,Inspection,Product C,Morning,Team B,100,102,15.0,5.59,21.7,0,0,102,0.0,102.0,20.59,89.15
2026-02-04,Inspection,Product A,Morning,Team C,105,99,13.44,6.43,16.68,0,0,99,0.0,94.29,19.87,91.66
2026-01-31,Inspection,Product A,Morning,Team A,106,101,14.08,0.57,13.72,0,0,101,0.0,95.28,14.65,93.14
2026-02-22,Cutting,Product A,Evening,Team B,120,122,10.43,2.28,13.49,0,0,122,0.0,101.67,12.71,93.26
2026-02-14,Packaging,Product B,Night,Team D,115,102,12.66,8.28,6.74,1,1,100,0.98,88.7,20.94,96.63
2026-03-18,Cutting,Product B,Night,Team A,95,88,12.41,14.82,10.8,0,0,88,0.0,92.63,27.23,94.6
2026-02-17,Cutting,Product A,Night,Team B,112,103,14.32,7.37,6.99,0,0,103,0.0,91.96,21.69,96.5
2026-02-16,Assembly,Product C,Night,Team A,83,60,28.72,30.49,21.42,1,1,58,1.67,72.29,59.21,89.29
2026-01-10,Assembly,Product C,Night,Team C,115,94,25.86,17.41,35.15,2,1,91,2.13,81.74,43.27,82.42
2026-01-02,Packaging,Product C,Morning,Team A,95,96,9.1,1.27,8.11,0,0,96,0.0,101.05,10.37,95.94
2026-02-05,Packaging,Product A,Morning,Team D,111,105,7.22,10.15,11.13,0,0,105,0.0,94.59,17.37,94.44
2026-03-31,Assembly,Product A,Morning,Team A,119,100,22.88,16.19,25.33,0,0,100,0.0,84.03,39.07,87.34
2026-03-24,Packaging,Product C,Evening,Team D,108,113,8.94,1.79,8.46,2,2,109,1.77,104.63,10.73,95.77
2026-02-26,Assembly,Product A,Morning,Team D,117,89,24.48,16.67,32.8,2,1,86,2.25,76.07,41.15,83.6
2026-02-26,Assembly,Product B,Evening,Team D,80,58,30.87,26.5,26.91,1,0,57,1.72,72.5,57.37,86.54
2026-02-05,Assembly,Product B,Evening,Team D,86,69,20.88,27.28,32.08,1,0,68,1.45,80.23,48.16,83.96
2026-01-16,Packaging,Product A,Evening,Team A,105,103,9.93,0.73,2.64,0,0,103,0.0,98.1,10.66,98.68
2026-01-01,Cutting,Product B,Morning,Team D,102,89,13.35,4.83,11.22,0,0,89,0.0,87.25,18.18,94.39
2026-01-31,Cutting,Product C,Morning,Team C,84,89,11.22,5.36,13.01,0,0,89,0.0,105.95,16.58,93.5
2026-01-29,Assembly,Product B,Morning,Team D,109,74,29.82,14.49,24.52,5,2,67,6.76,67.89,44.31,87.74
2026-01-18,Packaging,Product A,Night,Team D,82,83,12.12,9.64,12.96,0,0,83,0.0,101.22,21.76,93.52
2026-01-24,Packaging,Product C,Evening,Team C,120,114,9.71,4.02,3.26,0,0,114,0.0,95.0,13.73,98.37
2026-01-03,Inspection,Product B,Evening,Team B,86,79,11.24,12.56,8.84,0,0,79,0.0,91.86,23.8,95.58
2026-02-24,Packaging,Product B,Morning,Team A,98,102,8.23,8.83,0.25,0,0,102,0.0,104.08,17.06,99.88
2026-03-25,Packaging,Product C,Morning,Team A,113,115,9.55,2.68,14.59,2,1,112,1.74,101.77,12.23,92.7
2026-03-04,Assembly,Product B,Morning,Team B,101,78,27.38,20.84,35.82,1,1,76,1.28,77.23,48.22,82.09
2026-02-10,Assembly,Product A,Evening,Team D,110,86,27.32,23.78,30.03,2,1,83,2.33,78.18,51.1,84.98
2026-02-07,Inspection,Product A,Evening,Team C,108,98,15.77,5.66,23.83,1,0,97,1.02,90.74,21.43,88.08
2026-01-28,Inspection,Product A,Morning,Team B,118,112,12.79,10.35,10.86,0,1,111,0.0,94.92,23.14,94.57
2026-01-13,Assembly,Product B,Night,Team A,99,74,24.03,25.55,46.11,1,0,73,1.35,74.75,49.58,76.94
2026-02-23,Cutting,Product B,Morning,Team C,120,116,16.95,1.12,7.63,0,0,116,0.0,96.67,18.07,96.18
2026-02-20,Inspection,Product B,Night,Team C,101,89,15.18,8.77,19.81,1,0,88,1.12,88.12,23.95,90.1
2026-01-01,Assembly,Product A,Morning,Team D,116,96,24.98,26.81,23.16,2,0,94,2.08,82.76,51.79,88.42
2026-02-07,Packaging,Product B,Morning,Team C,110,106,7.47,3.37,9.23,0,0,106,0.0,96.36,10.84,95.38
2026-01-26,Assembly,Product C,Evening,Team C,85,68,22.53,24.23,32.28,2,1,65,2.94,80.0,46.76,83.86
2026-01-16,Cutting,Product A,Morning,Team D,106,105,13.06,2.95,8.32,1,0,104,0.95,99.06,16.01,95.84
2026-03-05,Packaging,Product B,Morning,Team B,116,114,8.2,5.16,17.66,0,0,114,0.0,98.28,13.36,91.17
2026-02-17,Cutting,Product B,Morning,Team D,85,79,11.28,14.57,10.43,0,0,79,0.0,92.94,25.85,94.78
2026-02-27,Cutting,Product B,Morning,Team B,114,112,10.86,0.77,10.62,1,0,111,0.89,98.25,11.63,94.69
2026-03-06,Inspection,Product A,Evening,Team A,84,85,14.61,0.41,6.55,0,0,85,0.0,101.19,15.02,96.72
2026-03-30,Packaging,Product B,Night,Team B,115,107,8.73,15.68,13.2,1,1,105,0.93,93.04,24.41,93.4
2026-03-14,Cutting,Product C,Night,Team A,112,107,12.11,6.99,12.07,0,0,107,0.0,95.54,19.1,93.96
2026-02-25,Assembly,Product B,Morning,Team A,86,67,26.09,20.21,21.77,1,1,65,1.49,77.91,46.3,89.12
2026-03-21,Inspection,Product C,Evening,Team D,109,106,14.32,5.66,7.34,1,0,105,0.94,97.25,19.98,96.33
2026-02-12,Packaging,Product C,Morning,Team D,84,82,9.73,5.07,23.03,0,0,82,0.0,97.62,14.8,88.48
2026-03-30,Assembly,Product A,Morning,Team A,103,97,19.54,15.24,26.27,1,0,96,1.03,94.17,34.78,86.86
2026-03-10,Cutting,Product B,Morning,Team D,117,112,12.49,4.28,0.26,0,0,112,0.0,95.73,16.77,99.87
2026-02-28,Cutting,Product B,Night,Team A,88,81,13.35,10.78,8.15,0,0,81,0.0,92.05,24.13,95.92
2026-03-23,Cutting,Product C,Night,Team B,87,83,11.15,5.04,15.4,1,2,80,1.2,95.4,16.19,92.3
2026-02-16,Cutting,Product A,Evening,Team C,97,88,8.92,2.2,12.28,0,0,88,0.0,90.72,11.12,93.86
2026-03-06,Inspection,Product A,Evening,Team B,95,83,15.86,6.61,15.33,0,0,83,0.0,87.37,22.47,92.34
2026-01-26,Cutting,Product C,Evening,Team C,81,76,12.39,0.0,13.06,0,2,74,0.0,93.83,12.39,93.47
2026-03-28,Assembly,Product A,Evening,Team D,98,81,25.37,18.35,18.87,3,2,76,3.7,82.65,43.72,90.56
2026-02-26,Inspection,Product B,Evening,Team A,90,83,15.74,8.48,14.04,0,1,82,0.0,92.22,24.22,92.98
2026-03-12,Inspection,Product A,Morning,Team A,85,72,19.19,6.4,6.74,2,2,68,2.78,84.71,25.59,96.63
2026-02-11,Cutting,Product C,Morning,Team D,91,95,7.24,3.91,5.28,1,1,93,1.05,104.4,11.15,97.36
2026-03-20,Packaging,Product C,Morning,Team C,80,86,7.38,3.92,1.49,0,1,85,0.0,107.5,11.3,99.26
2026-01-07,Inspection,Product A,Night,Team C,117,116,12.95,10.4,12.63,1,1,114,0.86,99.15,23.35,93.68
2026-01-11,Inspection,Product B,Evening,Team B,120,110,11.13,10.76,18.39,1,1,108,0.91,91.67,21.89,90.8
2026-02-15,Cutting,Product A,Night,Team B,95,87,11.92,16.55,18.09,0,0,87,0.0,91.58,28.47,90.96
2026-03-07,Cutting,Product B,Morning,Team C,115,122,10.34,3.14,14.86,0,0,122,0.0,106.09,13.48,92.57
2026-03-14,Packaging,Product B,Evening,Team C,98,97,6.32,5.94,7.24,0,0,97,0.0,98.98,12.26,96.38
2026-02-09,Assembly,Product C,Morning,Team A,117,90,25.47,15.29,33.3,3,1,86,3.33,76.92,40.76,83.35
2026-02-28,Assembly,Product A,Morning,Team C,87,72,22.95,21.58,13.07,3,2,67,4.17,82.76,44.53,93.46
2026-02-19,Assembly,Product A,Morning,Team C,91,70,24.65,27.97,34.73,7,5,58,10.0,76.92,52.62,82.64
